alert_id,clinic_id,alert_type,reference_id,severity,trigger_metric,triggered_date,is_resolved
AL0476,CL0022,Disease_Spike,DIS009,Medium,Cases increased 303% in 24 hours,2025-01-02,True
AL0477,CL0032,Disease_Spike,DIS018,High,Cases increased 254% in 24 hours,2022-07-14,True
AL0478,CL0023,Outbreak_Warning,DIS006,Medium,Geospatial cluster detected: 30 cases within 5km radius,2025-05-27,True
AL0479,CL0034,Outbreak_Warning,DIS012,Medium,Geospatial cluster detected: 13 cases within 5km radius,2022-05-17,True
AL0480,CL0015,Low_Stock,DRG011,High,Current stock 39 < Buffer 65,2022-12-11,True
AL0481,CL0013,Disease_Spike,DIS046,Medium,Cases increased 437% in 24 hours,2023-06-27,True
AL0482,CL0030,Outbreak_Warning,DIS042,Critical,Geospatial cluster detected: 19 cases within 5km radius,2025-12-10,True
AL0483,CL0031,Disease_Spike,DIS043,Critical,Cases increased 172% in 72 hours,2021-06-07,True
AL0484,CL0017,Disease_Spike,DIS013,Critical,Cases increased 405% in 48 hours,2025-10-10,True
AL0485,CL0045,Low_Stock,DRG046,High,Current stock 31 < Buffer 62,2021-07-25,True
AL0486,CL0042,Outbreak_Warning,DIS011,High,Geospatial cluster detected: 10 cases within 5km radius,2022-06-14,True
AL0487,CL0002,Outbreak_Warning,DIS011,Medium,Geospatial cluster detected: 33 cases within 5km radius,2025-06-28,False
AL0488,CL0035,Outbreak_Warning,DIS027,Critical,Geospatial cluster detected: 36 cases within 5km radius,2022-08-23,True
AL0489,CL0009,Low_Stock,DRG035,Critical,Current stock 42 < Buffer 119,2023-07-02,True
AL0490,CL0027,Disease_Spike,DIS021,Medium,Cases increased 317% in 24 hours,2025-11-09,False
AL0491,CL0001,Low_Stock,DRG036,Medium,Current stock 28 < Buffer 109,2025-11-16,True
AL0492,CL0038,Low_Stock,DRG083,High,Current stock 26 < Buffer 100,2024-12-03,True
AL0493,CL0038,Low_Stock,DRG065,High,Current stock 20 < Buffer 99,2021-02-09,False
AL0494,CL0004,Disease_Spike,DIS026,Critical,Cases increased 263% in 72 hours,2021-01-20,False
AL0495,CL0044,Low_Stock,DRG020,Medium,Current stock 32 < Buffer 85,2025-11-15,True
AL0496,CL0026,Outbreak_Warning,DIS035,High,Geospatial cluster detected: 41 cases within 5km radius,2021-12-23,False
AL0497,CL0034,Outbreak_Warning,DIS019,High,Geospatial cluster detected: 31 cases within 5km radius,2022-02-13,True
AL0498,CL0014,Disease_Spike,DIS006,Medium,Cases increased 479% in 72 hours,2022-07-17,True
AL0499,CL0042,Outbreak_Warning,DIS021,High,Geospatial cluster detected: 25 cases within 5km radius,2025-09-10,True
AL0500,CL0024,Low_Stock,DRG098,Medium,Current stock 49 < Buffer 76,2024-11-07,True
AL0501,CL0034,Low_Stock,DRG043,Medium,Current stock 48 < Buffer 118,2021-08-13,True
AL0502,CL0027,Disease_Spike,DIS049,High,Cases increased 223% in 72 hours,2022-02-21,True
AL0503,CL0040,Disease_Spike,DIS036,Medium,Cases increased 388% in 72 hours,2023-06-02,True
AL0504,CL0015,Outbreak_Warning,DIS035,Critical,Geospatial cluster detected: 25 cases within 5km radius,2022-01-28,False
AL0505,CL0050,Outbreak_Warning,DIS022,Medium,Geospatial cluster detected: 25 cases within 5km radius,2021-07-07,True
AL0506,CL0023,Disease_Spike,DIS040,High,Cases increased 341% in 48 hours,2022-08-15,True
AL0507,CL0004,Outbreak_Warning,DIS010,Critical,Geospatial cluster detected: 11 cases within 5km radius,2022-06-10,True
AL0508,CL0010,Outbreak_Warning,DIS010,High,Geospatial cluster detected: 14 cases within 5km radius,2024-01-04,True
AL0509,CL0019,Low_Stock,DRG084,Medium,Current stock 13 < Buffer 115,2022-12-19,True
AL0510,CL0002,Low_Stock,DRG040,Medium,Current stock 35 < Buffer 138,2021-12-13,True
AL0511,CL0026,Low_Stock,DRG057,High,Current stock 17 < Buffer 108,2024-08-11,True
AL0512,CL0045,Low_Stock,DRG083,Critical,Current stock 18 < Buffer 138,2025-04-26,True
AL0513,CL0041,Low_Stock,DRG019,High,Current stock 35 < Buffer 124,2024-01-09,True
AL0514,CL0032,Outbreak_Warning,DIS011,Medium,Geospatial cluster detected: 15 cases within 5km radius,2024-06-05,True
AL0515,CL0019,Low_Stock,DRG013,High,Current stock 15 < Buffer 65,2021-12-18,True
AL0516,CL0002,Disease_Spike,DIS041,Critical,Cases increased 339% in 72 hours,2025-07-04,True
AL0517,CL0037,Outbreak_Warning,DIS044,Critical,Geospatial cluster detected: 12 cases within 5km radius,2021-09-04,True
AL0518,CL0029,Low_Stock,DRG035,Critical,Current stock 7 < Buffer 140,2022-12-24,True
AL0519,CL0050,Outbreak_Warning,DIS021,Critical,Geospatial cluster detected: 10 cases within 5km radius,2023-01-27,True
AL0520,CL0039,Outbreak_Warning,DIS001,High,Geospatial cluster detected: 43 cases within 5km radius,2022-06-04,True
AL0521,CL0034,Outbreak_Warning,DIS043,Medium,Geospatial cluster detected: 24 cases within 5km radius,2022-01-26,True
AL0522,CL0008,Outbreak_Warning,DIS045,High,Geospatial cluster detected: 30 cases within 5km radius,2023-06-10,True
AL0523,CL0029,Outbreak_Warning,DIS019,Critical,Geospatial cluster detected: 47 cases within 5km radius,2022-03-25,True
AL0524,CL0014,Outbreak_Warning,DIS023,Critical,Geospatial cluster detected: 18 cases within 5km radius,2023-12-20,True
AL0525,CL0029,Outbreak_Warning,DIS046,High,Geospatial cluster detected: 16 cases within 5km radius,2025-12-26,True
AL0526,CL0044,Outbreak_Warning,DIS005,Medium,Geospatial cluster detected: 44 cases within 5km radius,2022-02-27,True
AL0527,CL0003,Outbreak_Warning,DIS030,Critical,Geospatial cluster detected: 17 cases within 5km radius,2022-07-01,True
AL0528,CL0040,Outbreak_Warning,DIS047,High,Geospatial cluster detected: 42 cases within 5km radius,2023-07-25,True
AL0529,CL0007,Disease_Spike,DIS045,Medium,Cases increased 204% in 72 hours,2021-02-06,True
AL0530,CL0047,Low_Stock,DRG020,Medium,Current stock 30 < Buffer 95,2025-11-28,True
AL0531,CL0010,Disease_Spike,DIS015,Medium,Cases increased 152% in 48 hours,2025-08-28,True
AL0532,CL0039,Outbreak_Warning,DIS024,High,Geospatial cluster detected: 49 cases within 5km radius,2023-01-23,True
AL0533,CL0025,Disease_Spike,DIS023,Critical,Cases increased 189% in 24 hours,2022-12-03,False
AL0534,CL0027,Disease_Spike,DIS041,Critical,Cases increased 480% in 48 hours,2021-08-17,True
AL0535,CL0003,Disease_Spike,DIS009,High,Cases increased 496% in 72 hours,2023-10-20,True
AL0536,CL0014,Low_Stock,DRG013,Medium,Current stock 32 < Buffer 99,2024-06-25,True
AL0537,CL0044,Disease_Spike,DIS025,Critical,Cases increased 307% in 24 hours,2025-07-20,True
AL0538,CL0037,Disease_Spike,DIS047,Critical,Cases increased 277% in 72 hours,2022-11-26,True
AL0539,CL0040,Low_Stock,DRG084,Critical,Current stock 21 < Buffer 94,2023-02-16,True
AL0540,CL0004,Disease_Spike,DIS005,High,Cases increased 242% in 48 hours,2023-04-09,True
AL0541,CL0020,Low_Stock,DRG081,Medium,Current stock 41 < Buffer 137,2021-12-22,True
AL0542,CL0033,Low_Stock,DRG077,High,Current stock 24 < Buffer 110,2024-07-08,True
AL0543,CL0003,Disease_Spike,DIS019,High,Cases increased 195% in 72 hours,2021-08-21,True
AL0544,CL0016,Low_Stock,DRG100,High,Current stock 39 < Buffer 97,2023-08-18,True
AL0545,CL0027,Low_Stock,DRG019,Critical,Current stock 37 < Buffer 96,2022-08-20,True
AL0546,CL0001,Outbreak_Warning,DIS005,High,Geospatial cluster detected: 35 cases within 5km radius,2025-02-24,True
AL0547,CL0022,Outbreak_Warning,DIS010,Medium,Geospatial cluster detected: 29 cases within 5km radius,2025-12-27,True
AL0548,CL0034,Low_Stock,DRG099,Medium,Current stock 17 < Buffer 94,2023-06-03,True
AL0549,CL0040,Low_Stock,DRG038,High,Current stock 37 < Buffer 119,2025-01-10,True
AL0550,CL0043,Disease_Spike,DIS014,Critical,Cases increased 210% in 72 hours,2022-06-18,True
AL0551,CL0017,Low_Stock,DRG062,Critical,Current stock 45 < Buffer 91,2021-08-02,True
AL0552,CL0025,Disease_Spike,DIS043,High,Cases increased 446% in 48 hours,2021-10-18,True
AL0553,CL0023,Outbreak_Warning,DIS038,Medium,Geospatial cluster detected: 31 cases within 5km radius,2025-08-25,True
AL0554,CL0025,Disease_Spike,DIS003,High,Cases increased 453% in 72 hours,2021-07-17,True
AL0555,CL0028,Low_Stock,DRG011,High,Current stock 9 < Buffer 62,2024-07-25,True
AL0556,CL0001,Disease_Spike,DIS049,Critical,Cases increased 357% in 72 hours,2025-01-12,True
AL0557,CL0031,Outbreak_Warning,DIS002,High,Geospatial cluster detected: 33 cases within 5km radius,2024-07-21,True
AL0558,CL0026,Outbreak_Warning,DIS008,Critical,Geospatial cluster detected: 49 cases within 5km radius,2021-12-22,True
AL0559,CL0041,Low_Stock,DRG089,Medium,Current stock 47 < Buffer 87,2025-09-27,True
AL0560,CL0033,Low_Stock,DRG098,High,Current stock 44 < Buffer 71,2022-07-10,True
AL0561,CL0038,Outbreak_Warning,DIS044,High,Geospatial cluster detected: 49 cases within 5km radius,2023-07-21,True
AL0562,CL0047,Disease_Spike,DIS027,High,Cases increased 238% in 72 hours,2021-05-05,True
AL0563,CL0008,Disease_Spike,DIS013,High,Cases increased 243% in 24 hours,2023-02-02,True
AL0564,CL0027,Low_Stock,DRG098,Critical,Current stock 14 < Buffer 67,2023-12-09,True
AL0565,CL0003,Disease_Spike,DIS012,High,Cases increased 367% in 24 hours,2024-01-20,False
AL0566,CL0037,Outbreak_Warning,DIS001,High,Geospatial cluster detected: 21 cases within 5km radius,2022-07-07,True
AL0567,CL0013,Disease_Spike,DIS035,High,Cases increased 189% in 24 hours,2025-07-26,True
AL0568,CL0001,Disease_Spike,DIS036,Medium,Cases increased 154% in 48 hours,2025-02-23,False
AL0569,CL0039,Low_Stock,DRG080,High,Current stock 47 < Buffer 86,2024-06-10,True
AL0570,CL0015,Low_Stock,DRG089,High,Current stock 42 < Buffer 107,2025-12-11,True
AL0571,CL0007,Low_Stock,DRG029,Critical,Current stock 44 < Buffer 97,2023-02-28,True
AL0572,CL0021,Outbreak_Warning,DIS002,Critical,Geospatial cluster detected: 50 cases within 5km radius,2023-07-06,True
AL0573,CL0027,Low_Stock,DRG058,High,Current stock 18 < Buffer 99,2022-12-28,False
AL0574,CL0034,Disease_Spike,DIS035,Medium,Cases increased 313% in 24 hours,2024-03-22,True
AL0575,CL0008,Low_Stock,DRG026,Critical,Current stock 5 < Buffer 76,2021-01-05,True
AL0576,CL0007,Low_Stock,DRG011,Critical,Current stock 20 < Buffer 83,2023-10-07,True
AL0577,CL0018,Outbreak_Warning,DIS006,Medium,Geospatial cluster detected: 22 cases within 5km radius,2022-04-11,True
AL0578,CL0046,Outbreak_Warning,DIS048,Critical,Geospatial cluster detected: 39 cases within 5km radius,2025-07-20,True
AL0579,CL0044,Outbreak_Warning,DIS029,High,Geospatial cluster detected: 32 cases within 5km radius,2025-05-10,False
AL0580,CL0033,Outbreak_Warning,DIS041,Medium,Geospatial cluster detected: 17 cases within 5km radius,2022-07-14,True
AL0581,CL0010,Outbreak_Warning,DIS013,Medium,Geospatial cluster detected: 10 cases within 5km radius,2024-07-08,True
AL0582,CL0020,Outbreak_Warning,DIS040,Critical,Geospatial cluster detected: 20 cases within 5km radius,2022-06-06,True
AL0583,CL0007,Outbreak_Warning,DIS042,High,Geospatial cluster detected: 26 cases within 5km radius,2025-12-08,True
AL0584,CL0028,Low_Stock,DRG099,Medium,Current stock 32 < Buffer 103,2021-02-21,True
AL0585,CL0028,Disease_Spike,DIS013,Critical,Cases increased 296% in 24 hours,2024-01-12,True
AL0586,CL0015,Low_Stock,DRG075,Medium,Current stock 21 < Buffer 133,2022-01-13,False
AL0587,CL0013,Outbreak_Warning,DIS043,Critical,Geospatial cluster detected: 49 cases within 5km radius,2023-02-26,True
AL0588,CL0005,Low_Stock,DRG089,High,Current stock 15 < Buffer 94,2025-08-08,True
AL0589,CL0037,Outbreak_Warning,DIS019,Medium,Geospatial cluster detected: 39 cases within 5km radius,2025-12-02,True
AL0590,CL0020,Outbreak_Warning,DIS028,Critical,Geospatial cluster detected: 13 cases within 5km radius,2023-01-22,True
AL0591,CL0036,Disease_Spike,DIS044,High,Cases increased 233% in 72 hours,2021-12-18,True
AL0592,CL0023,Disease_Spike,DIS008,High,Cases increased 361% in 24 hours,2024-12-12,True
AL0593,CL0042,Outbreak_Warning,DIS020,Medium,Geospatial cluster detected: 42 cases within 5km radius,2021-06-07,True
AL0594,CL0044,Outbreak_Warning,DIS048,High,Geospatial cluster detected: 30 cases within 5km radius,2021-01-20,True
AL0595,CL0031,Low_Stock,DRG041,High,Current stock 24 < Buffer 105,2022-04-10,True
AL0596,CL0027,Outbreak_Warning,DIS015,Medium,Geospatial cluster detected: 30 cases within 5km radius,2023-02-01,True
AL0597,CL0012,Disease_Spike,DIS041,Critical,Cases increased 161% in 48 hours,2025-02-08,True
AL0598,CL0035,Low_Stock,DRG062,High,Current stock 19 < Buffer 91,2024-08-09,True
AL0599,CL0042,Low_Stock,DRG055,Medium,Current stock 5 < Buffer 68,2024-07-06,False
AL0600,CL0007,Disease_Spike,DIS026,High,Cases increased 419% in 72 hours,2021-06-12,True
AL0601,CL0018,Low_Stock,DRG086,Medium,Current stock 29 < Buffer 63,2023-02-23,True
AL0602,CL0039,Disease_Spike,DIS005,Medium,Cases increased 408% in 48 hours,2024-12-12,True
AL0603,CL0038,Low_Stock,DRG004,Medium,Current stock 47 < Buffer 143,2025-01-24,False
AL0604,CL0023,Disease_Spike,DIS029,High,Cases increased 189% in 24 hours,2025-03-02,True
AL0605,CL0020,Outbreak_Warning,DIS006,High,Geospatial cluster detected: 21 cases within 5km radius,2023-02-02,True
AL0606,CL0006,Disease_Spike,DIS010,Medium,Cases increased 374% in 24 hours,2024-08-05,True
AL0607,CL0050,Outbreak_Warning,DIS015,Critical,Geospatial cluster detected: 36 cases within 5km radius,2025-08-03,True
AL0608,CL0041,Outbreak_Warning,DIS041,High,Geospatial cluster detected: 28 cases within 5km radius,2025-02-12,True
AL0609,CL0003,Low_Stock,DRG010,Medium,Current stock 32 < Buffer 76,2021-08-27,True
AL0610,CL0050,Outbreak_Warning,DIS020,Critical,Geospatial cluster detected: 17 cases within 5km radius,2022-01-20,True
AL0611,CL0009,Disease_Spike,DIS049,High,Cases increased 400% in 24 hours,2024-05-15,True
AL0612,CL0037,Disease_Spike,DIS036,Medium,Cases increased 256% in 48 hours,2023-12-01,True
AL0613,CL0005,Outbreak_Warning,DIS002,Medium,Geospatial cluster detected: 37 cases within 5km radius,2024-08-14,True
AL0614,CL0030,Low_Stock,DRG041,Medium,Current stock 37 < Buffer 62,2023-07-11,True
AL0615,CL0036,Disease_Spike,DIS042,Medium,Cases increased 188% in 48 hours,2025-07-23,True
AL0616,CL0038,Disease_Spike,DIS019,Critical,Cases increased 462% in 72 hours,2022-08-10,False
AL0617,CL0024,Disease_Spike,DIS016,Critical,Cases increased 240% in 72 hours,2025-06-14,True
AL0618,CL0026,Disease_Spike,DIS040,Medium,Cases increased 322% in 72 hours,2022-02-10,True
AL0619,CL0050,Outbreak_Warning,DIS024,Critical,Geospatial cluster detected: 49 cases within 5km radius,2025-02-08,True
AL0620,CL0047,Outbreak_Warning,DIS043,Critical,Geospatial cluster detected: 47 cases within 5km radius,2022-04-22,True
AL0621,CL0010,Disease_Spike,DIS005,Medium,Cases increased 291% in 24 hours,2024-12-11,True
AL0622,CL0043,Disease_Spike,DIS044,Critical,Cases increased 443% in 72 hours,2023-06-28,True
AL0623,CL0026,Low_Stock,DRG088,Critical,Current stock 7 < Buffer 65,2025-11-05,True
AL0624,CL0036,Outbreak_Warning,DIS020,High,Geospatial cluster detected: 10 cases within 5km radius,2023-11-21,True
AL0625,CL0012,Disease_Spike,DIS033,Critical,Cases increased 444% in 72 hours,2021-06-20,True
AL0626,CL0017,Low_Stock,DRG070,High,Current stock 25 < Buffer 128,2024-01-19,True
AL0627,CL0010,Outbreak_Warning,DIS011,High,Geospatial cluster detected: 35 cases within 5km radius,2023-02-10,True
AL0628,CL0006,Low_Stock,DRG005,Critical,Current stock 40 < Buffer 145,2025-01-26,True
AL0629,CL0050,Outbreak_Warning,DIS041,High,Geospatial cluster detected: 32 cases within 5km radius,2022-02-13,True
AL0630,CL0035,Disease_Spike,DIS021,Medium,Cases increased 462% in 48 hours,2025-12-13,True
AL0631,CL0035,Low_Stock,DRG094,Critical,Current stock 35 < Buffer 60,2024-06-15,True
AL0632,CL0007,Low_Stock,DRG047,Medium,Current stock 34 < Buffer 127,2022-02-11,True
AL0633,CL0004,Outbreak_Warning,DIS045,Medium,Geospatial cluster detected: 20 cases within 5km radius,2022-07-10,True
AL0634,CL0013,Disease_Spike,DIS019,High,Cases increased 423% in 24 hours,2025-02-07,True
AL0635,CL0019,Disease_Spike,DIS048,Critical,Cases increased 295% in 24 hours,2024-08-14,True
AL0636,CL0025,Disease_Spike,DIS024,Medium,Cases increased 277% in 48 hours,2021-07-02,False
AL0637,CL0032,Disease_Spike,DIS028,Medium,Cases increased 154% in 72 hours,2025-11-08,False
AL0638,CL0048,Disease_Spike,DIS033,High,Cases increased 249% in 72 hours,2021-08-19,True
AL0639,CL0048,Low_Stock,DRG083,High,Current stock 21 < Buffer 137,2023-06-03,True
AL0640,CL0022,Outbreak_Warning,DIS024,Critical,Geospatial cluster detected: 14 cases within 5km radius,2023-03-20,True
AL0641,CL0038,Disease_Spike,DIS036,Critical,Cases increased 348% in 24 hours,2023-04-18,True
AL0642,CL0039,Low_Stock,DRG016,High,Current stock 43 < Buffer 108,2021-08-16,True
AL0643,CL0028,Disease_Spike,DIS025,Critical,Cases increased 154% in 72 hours,2025-12-02,True
AL0644,CL0010,Disease_Spike,DIS001,Critical,Cases increased 493% in 72 hours,2025-07-16,True
AL0645,CL0026,Outbreak_Warning,DIS044,Medium,Geospatial cluster detected: 44 cases within 5km radius,2022-12-06,True
AL0646,CL0032,Low_Stock,DRG093,Medium,Current stock 8 < Buffer 117,2023-01-15,True
AL0647,CL0021,Outbreak_Warning,DIS016,Critical,Geospatial cluster detected: 45 cases within 5km radius,2024-06-25,True
AL0648,CL0029,Disease_Spike,DIS004,Medium,Cases increased 209% in 24 hours,2025-07-01,True
AL0649,CL0047,Low_Stock,DRG008,Critical,Current stock 48 < Buffer 69,2025-12-02,True
AL0650,CL0009,Disease_Spike,DIS035,Critical,Cases increased 151% in 48 hours,2025-07-15,False
AL0651,CL0017,Low_Stock,DRG039,Critical,Current stock 14 < Buffer 123,2022-02-23,True
AL0652,CL0005,Outbreak_Warning,DIS033,Medium,Geospatial cluster detected: 28 cases within 5km radius,2022-08-06,True
AL0653,CL0026,Low_Stock,DRG040,Medium,Current stock 17 < Buffer 91,2022-06-20,True
AL0654,CL0046,Disease_Spike,DIS022,High,Cases increased 298% in 24 hours,2025-02-18,True
AL0655,CL0025,Outbreak_Warning,DIS042,High,Geospatial cluster detected: 28 cases within 5km radius,2024-12-05,True
AL0656,CL0004,Outbreak_Warning,DIS029,Critical,Geospatial cluster detected: 50 cases within 5km radius,2023-06-04,True
AL0657,CL0034,Disease_Spike,DIS014,Critical,Cases increased 467% in 72 hours,2021-03-15,True
AL0658,CL0042,Disease_Spike,DIS018,Medium,Cases increased 331% in 72 hours,2025-08-20,True
AL0659,CL0030,Low_Stock,DRG098,Critical,Current stock 44 < Buffer 123,2025-09-15,True
AL0660,CL0044,Outbreak_Warning,DIS040,Critical,Geospatial cluster detected: 22 cases within 5km radius,2024-07-16,True
AL0661,CL0022,Disease_Spike,DIS009,Medium,Cases increased 477% in 48 hours,2024-01-23,False
AL0662,CL0029,Low_Stock,DRG064,Critical,Current stock 28 < Buffer 83,2025-11-02,True
AL0663,CL0013,Low_Stock,DRG085,Medium,Current stock 29 < Buffer 105,2024-02-05,True
AL0664,CL0036,Outbreak_Warning,DIS020,Medium,Geospatial cluster detected: 48 cases within 5km radius,2022-11-22,True
AL0665,CL0031,Outbreak_Warning,DIS037,Medium,Geospatial cluster detected: 23 cases within 5km radius,2022-04-01,True
AL0666,CL0036,Outbreak_Warning,DIS017,Medium,Geospatial cluster detected: 20 cases within 5km radius,2021-02-09,True
AL0667,CL0013,Disease_Spike,DIS042,Critical,Cases increased 161% in 72 hours,2021-01-14,True
AL0668,CL0001,Outbreak_Warning,DIS017,Medium,Geospatial cluster detected: 40 cases within 5km radius,2024-09-01,True
AL0669,CL0030,Outbreak_Warning,DIS039,Medium,Geospatial cluster detected: 45 cases within 5km radius,2022-12-06,True
AL0670,CL0013,Outbreak_Warning,DIS046,High,Geospatial cluster detected: 39 cases within 5km radius,2025-12-21,True
AL0671,CL0031,Outbreak_Warning,DIS031,High,Geospatial cluster detected: 26 cases within 5km radius,2021-12-19,True
AL0672,CL0018,Outbreak_Warning,DIS014,High,Geospatial cluster detected: 15 cases within 5km radius,2021-06-23,True
AL0673,CL0011,Outbreak_Warning,DIS012,Medium,Geospatial cluster detected: 32 cases within 5km radius,2021-11-23,True
AL0674,CL0034,Low_Stock,DRG032,Critical,Current stock 35 < Buffer 86,2022-08-06,True
AL0675,CL0016,Outbreak_Warning,DIS022,High,Geospatial cluster detected: 50 cases within 5km radius,2024-11-27,True
AL0676,CL0043,Disease_Spike,DIS025,High,Cases increased 466% in 24 hours,2024-08-23,True
AL0677,CL0049,Outbreak_Warning,DIS033,Critical,Geospatial cluster detected: 31 cases within 5km radius,2023-06-03,True
AL0678,CL0028,Disease_Spike,DIS024,Medium,Cases increased 191% in 48 hours,2022-01-13,False
AL0679,CL0039,Low_Stock,DRG068,High,Current stock 36 < Buffer 147,2022-08-26,True
AL0680,CL0015,Outbreak_Warning,DIS030,Critical,Geospatial cluster detected: 32 cases within 5km radius,2022-12-18,True
AL0681,CL0014,Low_Stock,DRG053,High,Current stock 17 < Buffer 149,2022-12-01,True
AL0682,CL0045,Disease_Spike,DIS034,Medium,Cases increased 387% in 72 hours,2024-07-27,True
AL0683,CL0043,Disease_Spike,DIS009,Medium,Cases increased 403% in 24 hours,2022-08-15,True
AL0684,CL0031,Low_Stock,DRG007,High,Current stock 41 < Buffer 81,2024-02-19,True
AL0685,CL0014,Low_Stock,DRG080,Critical,Current stock 32 < Buffer 149,2025-02-08,True
AL0686,CL0009,Disease_Spike,DIS009,Medium,Cases increased 345% in 48 hours,2025-12-26,True
AL0687,CL0016,Disease_Spike,DIS002,Medium,Cases increased 444% in 72 hours,2024-01-09,False
AL0688,CL0002,Outbreak_Warning,DIS039,High,Geospatial cluster detected: 37 cases within 5km radius,2025-02-19,True
AL0689,CL0033,Outbreak_Warning,DIS011,Medium,Geospatial cluster detected: 13 cases within 5km radius,2024-07-21,True
AL0690,CL0020,Outbreak_Warning,DIS047,High,Geospatial cluster detected: 40 cases within 5km radius,2023-05-05,True
AL0691,CL0018,Disease_Spike,DIS031,Critical,Cases increased 413% in 48 hours,2025-08-25,True
AL0692,CL0042,Low_Stock,DRG072,Critical,Current stock 46 < Buffer 94,2021-02-12,True
AL0693,CL0032,Outbreak_Warning,DIS037,Critical,Geospatial cluster detected: 36 cases within 5km radius,2021-02-09,True
AL0694,CL0045,Disease_Spike,DIS027,Medium,Cases increased 456% in 24 hours,2023-12-14,True
AL0695,CL0030,Low_Stock,DRG003,Critical,Current stock 44 < Buffer 75,2025-06-16,False
AL0696,CL0026,Low_Stock,DRG090,High,Current stock 41 < Buffer 92,2025-12-20,True
AL0697,CL0032,Low_Stock,DRG064,Critical,Current stock 39 < Buffer 108,2025-12-13,True
AL0698,CL0040,Disease_Spike,DIS027,Medium,Cases increased 325% in 72 hours,2022-07-28,True
AL0699,CL0038,Disease_Spike,DIS022,Critical,Cases increased 383% in 48 hours,2025-04-22,True
AL0700,CL0034,Disease_Spike,DIS046,High,Cases increased 422% in 24 hours,2025-01-11,True
AL0701,CL0029,Outbreak_Warning,DIS027,High,Geospatial cluster detected: 35 cases within 5km radius,2023-12-11,True
AL0702,CL0012,Low_Stock,DRG094,Medium,Current stock 36 < Buffer 126,2023-08-25,True
AL0703,CL0032,Low_Stock,DRG074,Critical,Current stock 36 < Buffer 124,2022-06-19,True
AL0704,CL0012,Low_Stock,DRG026,High,Current stock 36 < Buffer 70,2024-01-09,True
AL0705,CL0014,Low_Stock,DRG066,High,Current stock 40 < Buffer 122,2023-07-23,True
AL0706,CL0010,Outbreak_Warning,DIS030,High,Geospatial cluster detected: 47 cases within 5km radius,2024-02-14,True
AL0707,CL0025,Outbreak_Warning,DIS036,Critical,Geospatial cluster detected: 46 cases within 5km radius,2025-02-28,True
AL0708,CL0050,Low_Stock,DRG060,High,Current stock 14 < Buffer 60,2025-12-06,True
AL0709,CL0024,Outbreak_Warning,DIS048,Critical,Geospatial cluster detected: 21 cases within 5km radius,2025-06-20,True
AL0710,CL0049,Outbreak_Warning,DIS008,Medium,Geospatial cluster detected: 48 cases within 5km radius,2022-02-20,True
AL0711,CL0006,Disease_Spike,DIS009,High,Cases increased 279% in 72 hours,2025-04-22,True
AL0712,CL0046,Low_Stock,DRG058,Medium,Current stock 25 < Buffer 66,2025-06-09,True
AL0713,CL0015,Outbreak_Warning,DIS001,Critical,Geospatial cluster detected: 34 cases within 5km radius,2023-12-13,True
AL0714,CL0034,Disease_Spike,DIS049,Critical,Cases increased 300% in 24 hours,2022-06-14,True
AL0715,CL0046,Disease_Spike,DIS036,Critical,Cases increased 309% in 72 hours,2025-02-28,True
AL0716,CL0038,Low_Stock,DRG001,Medium,Current stock 50 < Buffer 117,2025-12-21,True
AL0717,CL0048,Outbreak_Warning,DIS030,Critical,Geospatial cluster detected: 11 cases within 5km radius,2023-07-25,True
AL0718,CL0028,Disease_Spike,DIS042,Medium,Cases increased 338% in 24 hours,2021-02-01,True
AL0719,CL0036,Low_Stock,DRG024,Critical,Current stock 47 < Buffer 127,2025-01-26,True
AL0720,CL0019,Outbreak_Warning,DIS031,Medium,Geospatial cluster detected: 41 cases within 5km radius,2021-08-24,False
AL0721,CL0042,Low_Stock,DRG015,High,Current stock 18 < Buffer 85,2024-12-21,True
AL0722,CL0016,Low_Stock,DRG097,Critical,Current stock 38 < Buffer 105,2022-02-16,True
AL0723,CL0034,Disease_Spike,DIS049,Critical,Cases increased 324% in 24 hours,2021-08-23,True
AL0724,CL0032,Low_Stock,DRG016,Critical,Current stock 21 < Buffer 84,2023-01-03,False
AL0725,CL0028,Outbreak_Warning,DIS011,Critical,Geospatial cluster detected: 27 cases within 5km radius,2021-08-24,True
AL0726,CL0003,Disease_Spike,DIS029,High,Cases increased 469% in 24 hours,2024-02-24,True
AL0727,CL0022,Disease_Spike,DIS021,Medium,Cases increased 215% in 48 hours,2025-04-17,True
AL0728,CL0010,Disease_Spike,DIS007,High,Cases increased 211% in 48 hours,2025-07-18,True
AL0729,CL0005,Low_Stock,DRG013,High,Current stock 17 < Buffer 136,2025-02-10,True
AL0730,CL0016,Outbreak_Warning,DIS009,Medium,Geospatial cluster detected: 32 cases within 5km radius,2022-07-01,True
AL0731,CL0014,Disease_Spike,DIS048,Critical,Cases increased 361% in 72 hours,2021-08-17,True
AL0732,CL0023,Low_Stock,DRG093,High,Current stock 28 < Buffer 142,2024-05-19,True
AL0733,CL0034,Disease_Spike,DIS037,Critical,Cases increased 249% in 72 hours,2024-08-27,True
AL0734,CL0002,Low_Stock,DRG081,High,Current stock 28 < Buffer 139,2022-06-13,True
AL0735,CL0023,Disease_Spike,DIS030,Medium,Cases increased 390% in 24 hours,2023-12-22,False
